	rev_DLPVD	LF_DLPVD	rev_DLPDAVN_mean %	loadF_DLPDAVN_mean %	DLPDAVN_time
0	1179.6	76.66666666666667	[-3.46657576  0.98382249 -0.54459078  1.53677252]	[ 6.23529412 -1.98246606 -2.15893665 -2.41103749]	[ 1.8772063   2.25611191  2.72540503  3.1572968 ]
1	1442.6	78.88888888888889	[ 12.48201197  12.14327037  12.88157978  12.87882685]	[ 19.16952084  11.94423224  15.39300569  16.10133902]	[ 2.55364127  3.48283842  3.42130063  4.50727429]
2	1390.6	83.33333333333334	[-4.72536067 -1.60337552  3.06276977 -0.39356653]	[ 2.54651476 -2.18104934  2.32875458 -0.51753394]	[ 1.89907553  1.80044012  2.11066084  2.28023484]
3	1544.2	81.11111111111111	[-3.76941963 -1.97876882 -0.11172091 -0.11172091]	[ 8.85807656  4.54960317  8.43347339  8.43347339]	[ 2.10773942  2.27802231  2.96865287  3.1915642 ]
4	1316.7	74.44444444444446	[ 5.55857368  5.94359906  3.71643763  7.31224325]	[ 20.51748252   5.47630148   3.27117327   6.50815851]	[ 2.43000176  3.22100122  3.59690957  3.90671158]
5	1454.2	83.33333333333333	[-5.50201068 -0.28676477 -3.88948876 -3.00430595]	[ 9.11231416  8.739415    4.4463747   5.03461   ]	[ 2.16297045  2.54908209  2.67466121  3.50866938]
6	1071.3	79.44444444444446	[-5.32352326 -1.20994971 -2.21292107 -2.49683274]	[ 10.33438375   8.581137     7.24185129   7.24185129]	[ 2.12771966  2.44343615  2.82622724  3.29324086]
7	1180.4	74.44444444444444	[ 2.15228797  7.77323989  6.04482164  7.04918212]	[ 12.43900544   8.75407925   7.34498834   8.94755245]	[ 2.57720802  2.82241783  3.40771611  3.59609973]
8	1782.7	82.77777777777779	[-5.69911599 -1.27137053 -3.24104424 -3.24104424]	[ 7.58470696  6.45865654  2.15613553  2.15613553]	[ 2.2146276   2.71845257  3.2519187   3.80049074]
9	1553.4	82.77777777777779	[-3.02561091 -0.72454981 -2.73142171 -7.6014333 ]	[ 9.10043714  3.3049826   1.37746159  0.20285842]	[ 2.79978957  3.10020726  3.69618111  4.13631337]
