	rev_DLPVD	LF_DLPVD	rev_LPADP_mean %	loadF_LPADP_mean %	LPADP_time
0	1147.4	84.44444444444446	[ -8.83341395 -12.14611248 -11.47181446 -14.55363257]	[ 7.32843137  4.61414566  1.49019608 -3.81232493]	[  9.14167595   9.95231152  13.16380501  15.75926089]
1	1617.5	79.44444444444446	[ 1.44927101 -2.21436813 -4.13148856 -7.73097079]	[ 11.22115385   7.91025641   5.24358974  -1.56730769]	[ 14.59125781  14.44282413  18.37994266  19.3307817 ]
2	1107.7	77.22222222222223	[ -1.01292756  -1.73927058  -3.80340584 -22.31531216]	[  9.76374034   6.18960615  10.83156141  -9.73677956]	[ 16.81723785  15.04300117  14.88102984  18.19247675]
3	1276.1	81.11111111111111	[-1.12124199  0.9368934   0.93700229 -1.51262839]	[ 7.63618734  5.21326713  4.17838044  7.25430125]	[ 12.36351275  11.99716496  13.89857769  14.94011998]
4	1349.1	84.44444444444446	[ 1.2254435   3.85843568 -2.26066448 -5.84858805]	[ 8.52407886  8.37984809  2.44042232 -1.60294118]	[ 10.36179566   9.85846257  15.18195391  16.86838174]
5	1348.6	78.33333333333334	[ 3.34550241  4.74976211  1.04646902 -4.59688431]	[ 15.26477689  11.93494006   9.03855458   4.40263903]	[ 11.94920254  13.32504678  17.2294178   18.70736575]
6	1022.9	75.55555555555556	[-2.35609413 -6.24768146 -3.29323686 -3.44853767]	[ 17.0242674    6.7760989    4.51190476  -2.26327839]	[ 14.06272674  18.80997539  17.87782812  22.00926518]
7	1275.5	70.00000000000001	[ 0.48578064  1.41223998 -4.11506776 -2.51530308]	[ 13.87125375  12.1288295    6.64831002   4.10689311]	[ 10.54229355  16.91176605  16.92372584  19.32310128]
8	1211.9	79.44444444444444	[-11.5688451  -11.79953846 -17.49299213 -10.74551804]	[ 6.84165589  0.25983086 -4.86516914  0.36239496]	[  9.19243884  13.89771891  22.31401348  24.69770646]
9	1515.6	76.66666666666666	[ 8.09962771  4.19326214  1.33116798 -1.36285935]	[ 23.27902653  15.4716256   12.59286547   9.19928682]	[ 17.22204828  20.8808527   21.6904521   24.35465956]
